INFO 2025-04-27 22:38:46,260 autoreload Watching for file changes with StatReloader
DEBUG 2025-04-27 22:38:46,430 autoreload File E:\python3_7_9\Lib\encodings\__init__.py first seen with mtime 1597658266.0
DEBUG 2025-04-27 22:38:46,431 autoreload File E:\python3_7_9\Lib\site-packages\numpy\core\_type_aliases.py first seen with mtime 1693740664.4361987
DEBUG 2025-04-27 22:38:46,432 autoreload File E:\python3_7_9\Lib\logging\handlers.py first seen with mtime 1597658266.0
DEBUG 2025-04-27 22:38:46,432 autoreload File E:\python3_7_9\Lib\site-packages\pyparsing\results.py first seen with mtime 1692672936.3712516
DEBUG 2025-04-27 22:38:46,432 autoreload File E:\python3_7_9\Lib\site-packages\PIL\ImageChops.py first seen with mtime 1694687309.1656032
DEBUG 2025-04-27 22:38:46,432 autoreload File E:\python3_7_9\Lib\site-packages\numpy\matrixlib\__init__.py first seen with mtime 1693740664.7090316
DEBUG 2025-04-27 22:38:46,433 autoreload File E:\python3_7_9\Lib\site-packages\colorama\ansi.py first seen with mtime 1692673037.8101134
DEBUG 2025-04-27 22:38:46,433 autoreload File E:\python3_7_9\Lib\site-packages\django\db\models\functions\mixins.py first seen with mtime 1732347814.7856488
DEBUG 2025-04-27 22:38:46,433 autoreload File E:\python3_7_9\Lib\site-packages\django\contrib\contenttypes\fields.py first seen with mtime 1732347813.2163477
DEBUG 2025-04-27 22:38:46,433 autoreload File E:\python3_7_9\Lib\site-packages\sqlparse\filters\output.py first seen with mtime 1692672925.431188
DEBUG 2025-04-27 22:38:46,434 autoreload File E:\python3_7_9\Lib\site-packages\pyparsing\core.py first seen with mtime 1692672936.3596861
DEBUG 2025-04-27 22:38:46,435 autoreload File E:\python3_7_9\Lib\site-packages\django\utils\regex_helper.py first seen with mtime 1732347814.911229
DEBUG 2025-04-27 22:38:46,435 autoreload File E:\python3_7_9\Lib\site-packages\django\views\decorators\common.py first seen with mtime 1732347814.928184
DEBUG 2025-04-27 22:38:46,435 autoreload File E:\python3_7_9\Lib\site-packages\django\apps\registry.py first seen with mtime 1732347812.0871184
DEBUG 2025-04-27 22:38:46,435 autoreload File E:\python3_7_9\Lib\copy.py first seen with mtime 1597658264.0
DEBUG 2025-04-27 22:38:46,435 autoreload File E:\python3_7_9\Lib\concurrent\futures\_base.py first seen with mtime 1597658264.0
DEBUG 2025-04-27 22:38:46,435 autoreload File E:\python3_7_9\Lib\site-packages\django\db\backends\__init__.py first seen with mtime 1732347814.7194035
DEBUG 2025-04-27 22:38:46,435 autoreload File E:\python3_7_9\Lib\gettext.py first seen with mtime 1597658266.0
DEBUG 2025-04-27 22:38:46,436 autoreload File E:\python3_7_9\Lib\site-packages\django\core\serializers\python.py first seen with mtime 1732347814.7144167
DEBUG 2025-04-27 22:38:46,436 autoreload File E:\python3_7_9\Lib\datetime.py first seen with mtime 1597658264.0
DEBUG 2025-04-27 22:38:46,436 autoreload File E:\python3_7_9\Lib\site-packages\django\utils\itercompat.py first seen with mtime 1732347814.9065888
